"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2626","cart total equals the sum of unit prices for all added products","firefox","2026-05-09","passed","2026-05-09","Cart — edge cases","e2e/cart-edge-cases.spec.ts","",""
"","2479","checkout shipping form has no critical a11y violations","chromium","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","2849","refresh on shop page returns to login (in-memory session, no persistence)","firefox","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","505","login page is reachable and serves HTML","chromium","2026-05-09","passed","2026-05-09","Auth — API & network layer","api/auth-api.spec.ts","",""
"","775","uploads a zero-byte file","chromium","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","2262","offline mid-flow: action after going offline does not corrupt UI state","firefox","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","2487","slow network: login still completes when responses are throttled","webkit","2026-05-09","passed","2026-05-09","Network — error handling","network/error-handling.spec.ts","",""
"","4109","logs in, adds 2 products, completes checkout, and logs out","firefox","2026-05-09","passed","2026-05-09","E-commerce auth + order — happy path","e2e/auth-ecommerce.spec.ts","",""
"","1512","file upload page has no critical a11y violations","chromium","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
"","2247","refresh on shop page returns to login (in-memory session, no persistence)","webkit","2026-05-09","passed","2026-05-09","Session — edge cases","e2e/session-edge-cases.spec.ts","",""
"","3264","logout via UI ends the authenticated session locally","firefox","2026-05-09","passed","2026-05-09","Auth — captured network traffic","api/auth-api.spec.ts","",""
"","1053","uploads a filename with unicode + special characters","firefox","2026-05-09","passed","2026-05-09","File upload — edge cases","e2e/file-upload-edge-cases.spec.ts","",""
"","2226","file upload page has no critical a11y violations","firefox","2026-05-09","passed","2026-05-09","Accessibility (WCAG 2.1 A + AA)","e2e/accessibility.spec.ts","",""
